\begin{table}
\begin{tabular}{ccccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR & distance & unitless_dist \\
UDS & 17050 & 10.2278867046 & 0.827 & 3.96 & 0.1 & 11.63 & 0.244 & 0.0031 & 42.7041066595 & 45.2113965617 & 1.86460907546 & 43.1056921576 & 44.632115197 & -1.16684562682 & 1586.43374856 & 3.20042194014 \\
UDS & 4828 & 9.60097289569 & 0.829 & 4.6199999 & 0.1 & 10.54 & 0.059 & 0.0031 & 41.6141066595 & 44.1213965617 & 0.774609075465 & 42.7361821576 & 44.170227697 & -1.62873312682 & 1587.70087814 & 3.20076868499 \\
EGS & 30802 & 10.6101 & 0.83 & 10.56 & 0.3 & 11.18 & 0.214 & 0.0489 & 43.4520538248 & 44.7409711474 & 1.39418366114 & 43.3592462466 & 44.9490578083 & -0.849903015524 & 1588.33209363 & 3.20094131129 \\
COS & 5840 & 10.2832 & 0.83 & 4.62 & 0.3 & 11.03 & 0.326 & 0.0489 & 43.3020538248 & 44.5909711474 & 1.24418366114 & 43.3083962466 & 44.8854953083 & -0.913465515524 & 1588.33209363 & 3.20094131129 \\
COS & 29097 & 9.89999 & 0.83 & 4.62 & 0.3 & 10.92 & 0.154 & 0.0489 & 43.1920538248 & 44.4809711474 & 1.13418366114 & 43.2711062466 & 44.8388828083 & -0.960078015524 & 1588.33209363 & 3.20094131129 \\
COS & 24094 & 9.60643 & 0.83 & 4.62 & 0.2 & 10.71 & 0.083 & 0.0194 & 42.5805466956 & 44.2842368546 & 0.937449368377 & 43.0638053298 & 44.5797566623 & -1.21920416152 & 1588.33209363 & 3.20094131129 \\
UDS & 7626 & 10.0170333393 & 0.832 & 5.9400001 & 0.3 & 10.99 & 0.274 & 0.0489 & 43.2620538248 & 44.5509711474 & 1.20418366114 & 43.2948362466 & 44.8685453083 & -0.930415515524 & 1589.58984173 & 3.20128507875 \\
COS & 28634 & 9.43294 & 0.832 & 4.62 & 0.3 & 10.34 & 0.041 & 0.0489 & 42.6120538248 & 43.9009711474 & 0.554183661141 & 43.0744862466 & 44.5931078083 & -1.20585301552 & 1589.58984173 & 3.20128507875 \\
COS & 12978 & 10.3667 & 0.832 & 3.96 & 0.3 & 10.9 & 0.276 & 0.0489 & 43.1720538248 & 44.4609711474 & 1.11418366114 & 43.2643262466 & 44.8304078083 & -0.968553015524 & 1589.58984173 & 3.20128507875 \\
EGS & 24456 & 10.1984 & 0.833 & 4.62 & 0.1 & 11.33 & 0.376 & 0.0031 & 42.4041066595 & 44.9113965617 & 1.56460907546 & 43.0039921576 & 44.504990197 & -1.29397062682 & 1590.21638057 & 3.20145622274 \\
EGS & 31062 & 9.56787 & 0.834 & 5.94 & 0.2 & 10.68 & 0.078 & 0.0194 & 42.5505466956 & 44.2542368546 & 0.907449368377 & 43.0536353298 & 44.5670441623 & -1.23191666152 & 1590.84136677 & 3.20162687545 \\
EGS & 28541 & 8.4287 & 0.835 & 10.56 & 0.2 & 10.39 & 0.039 & 0.0194 & 42.2605466956 & 43.9642368546 & 0.617449368377 & 42.9553253298 & 44.4441566623 & -1.35480416152 & 1591.46480344 & 3.20179703828 \\
